Location,Area,Rainfall,Temperature,Soil_Type,Nitrogen,Phosphorus,Potassium,Humidity,Yield(kg/ha),Season
Bidar,1067,1416.47,32.75,Red Soil,55,48,53,64.1,4700,Kharif
Humnabad,1236,1280.33,28.3,Laterite Soil,51,25,36,65.08,4663,Rabi
Basavakalyan,629,1029.18,22.52,Black Soil,68,43,49,62.9,4449,Kharif
Bidar,193,1101.68,21.55,Laterite Soil,59,28,44,92.73,4669,Kharif
Basavakalyan,1024,1408.45,32.3,Laterite Soil,75,39,56,76.63,4700,Kharif
Bhalki,504,1131.89,25.64,Red Soil,63,20,57,62.25,4523,Kharif
Humnabad,1185,1221.48,22.53,Red Soil,54,43,36,71.25,4700,Kharif
Aurad,505,1289.37,32.14,Laterite Soil,52,29,31,72.3,4618,Kharif
Humnabad,1044,1108.69,21.36,Red Soil,45,22,56,88.33,4584,Kharif
Basavakalyan,1310,1076.39,29.48,Red Soil,46,25,31,85.74,4319,Kharif
Humnabad,623,1185.15,28.13,Black Soil,73,35,36,84.13,4700,Kharif
Bhalki,202,1028.93,21.14,Red Soil,54,39,48,60.77,4390,Kharif
Basavakalyan,262,1070.53,24.4,Laterite Soil,53,25,35,91.87,4502,Kharif
Basavakalyan,964,937.25,21.95,Laterite Soil,75,31,59,67.54,4358,Kharif
Bhalki,1240,1082.38,27.86,Black Soil,76,22,57,82.02,4535,Kharif
Bidar,469,1092.42,26.2,Black Soil,46,42,41,62.16,4335,Kharif
Aurad,783,1477.1,20.06,Black Soil,68,37,44,62.85,4700,Kharif
Humnabad,1427,1253.84,32.68,Laterite Soil,50,40,42,60.34,4481,Kharif
Aurad,550,1372.43,24.54,Laterite Soil,52,22,36,79.81,4700,Kharif
Aurad,1473,927.23,23.36,Red Soil,69,24,36,82.03,4327,Kharif
Bhalki,154,963.92,22.89,Black Soil,69,38,44,61.77,4323,Kharif
Bidar,1408,1388.72,22.06,Red Soil,55,44,55,70.17,4700,Kharif
Aurad,596,1274.13,32.99,Red Soil,79,43,33,89.8,4700,Kharif
Basavakalyan,188,1014.59,23.84,Laterite Soil,45,49,32,63.55,4254,Kharif
Bidar,349,1142.88,25.27,Red Soil,67,37,30,67.58,4597,Kharif
Bhalki,170,1223.2,31.33,Black Soil,47,27,36,74.85,4499,Kharif
Aurad,1247,1406.17,28.34,Black Soil,45,49,38,89.48,4700,Rabi
Bhalki,945,936.25,24.79,Laterite Soil,56,43,30,68.92,4177,Kharif
Humnabad,298,1258.03,31.68,Laterite Soil,75,29,34,94.9,4700,Kharif
Bhalki,774,1330.22,29.75,Laterite Soil,73,38,44,72.43,4700,Kharif
Basavakalyan,1457,1486.74,22.96,Black Soil,79,29,33,73.53,4700,Kharif
Bhalki,235,1384.3,28.37,Laterite Soil,72,40,39,64.27,4700,Kharif
Bidar,1275,1065.74,31.99,Black Soil,65,21,31,83.81,4343,Kharif
Humnabad,680,1325.75,26.45,Red Soil,55,29,52,68.52,4700,Kharif
Basavakalyan,212,1357.97,29.54,Laterite Soil,70,41,36,82.01,4700,Kharif
Humnabad,841,1337.84,32.62,Laterite Soil,55,37,58,67.81,4693,Kharif
Basavakalyan,699,1392.09,28.98,Laterite Soil,49,23,53,73.58,4700,Kharif
Humnabad,963,1442.24,21.33,Black Soil,51,22,48,89.98,4700,Kharif
Aurad,557,959.06,23.18,Red Soil,75,36,35,85.86,4440,Rabi
Bhalki,1346,962.86,27.74,Laterite Soil,52,43,44,65.41,4113,Kharif
Bidar,670,1377.84,23.58,Red Soil,71,43,49,81.27,4700,Kharif
Bidar,682,1051.42,32.45,Laterite Soil,65,36,41,82,4299,Rabi
Aurad,173,935.12,25.27,Black Soil,74,47,40,63.17,4248,Kharif
Humnabad,244,1140.74,25.94,Red Soil,58,41,32,76.3,4558,Kharif
Bhalki,445,1391.93,29.12,Red Soil,45,31,49,69.12,4700,Kharif
Aurad,1119,975.94,26.82,Laterite Soil,68,36,57,76.35,4299,Rabi
Humnabad,1353,1303.11,24.97,Red Soil,50,32,46,87.2,4700,Rabi
Bhalki,1304,902.17,21,Black Soil,50,28,36,65.54,4161,Kharif
Humnabad,682,965.84,27.75,Red Soil,49,20,52,64.32,4096,Kharif
Bidar,1181,1110.51,31.28,Red Soil,79,34,52,69.43,4468,Kharif
Bhalki,1037,950.16,28.91,Red Soil,59,38,47,93.33,4214,Kharif
Bidar,1374,1407.54,24.96,Red Soil,79,28,46,86.17,4700,Kharif
Bidar,1027,1418.44,21.66,Laterite Soil,52,36,45,60.68,4700,Rabi
Bhalki,534,1353.34,30.61,Laterite Soil,79,34,54,74.04,4700,Kharif
Aurad,697,1045.49,32.24,Red Soil,49,21,31,69.01,4145,Kharif
Humnabad,522,1213.95,25.05,Red Soil,75,23,34,82.34,4700,Kharif
Bhalki,1337,1010.51,29.47,Black Soil,75,26,59,76.08,4336,Kharif
Bidar,706,1068.77,25.34,Laterite Soil,52,27,50,93.76,4477,Kharif
Humnabad,805,1209.6,26.53,Laterite Soil,50,20,42,67.66,4584,Kharif
Bhalki,672,1341.01,30.87,Laterite Soil,67,20,58,80.57,4700,Kharif
Aurad,984,956.79,21.08,Red Soil,60,24,40,84.51,4393,Kharif
Bhalki,660,1078.02,26.89,Laterite Soil,52,27,53,88.89,4435,Kharif
Bhalki,1007,1455.97,22.79,Black Soil,48,20,30,74.24,4700,Kharif
Basavakalyan,1112,1157.47,24.42,Black Soil,76,22,56,84.04,4700,Rabi
Humnabad,361,1463.32,28.38,Black Soil,47,41,52,70.61,4700,Kharif
Bhalki,1076,1494.84,20.35,Black Soil,60,48,32,75.24,4700,Kharif
Bidar,774,1216,27.72,Black Soil,78,36,47,91.35,4700,Kharif
Bidar,494,1072.83,23.68,Laterite Soil,57,49,50,93.25,4554,Rabi
Basavakalyan,1184,1374.47,28.7,Red Soil,77,22,33,85.16,4700,Kharif
Bidar,485,995.59,21.84,Red Soil,66,47,58,73.1,4434,Kharif
Bhalki,1431,1051.23,29.57,Red Soil,75,20,38,88.7,4457,Kharif
Humnabad,203,1370.93,28.39,Red Soil,68,23,40,60.91,4700,Kharif
Basavakalyan,754,1160.19,32.63,Laterite Soil,47,28,46,63.6,4308,Kharif
Basavakalyan,445,1020.92,31.85,Laterite Soil,77,32,40,83.15,4336,Kharif
Aurad,1390,1290.68,23.68,Laterite Soil,74,24,32,70.19,4700,Kharif
Aurad,850,1339.66,20.36,Black Soil,70,33,48,93.3,4700,Kharif
Humnabad,537,975.04,28.52,Red Soil,78,38,49,75.26,4311,Kharif
Humnabad,1280,1066.19,27.84,Laterite Soil,66,45,52,75.03,4419,Kharif
Basavakalyan,1181,1032.77,20.36,Laterite Soil,74,42,50,83.73,4628,Kharif
Bhalki,1341,1127.91,21.59,Laterite Soil,79,33,40,86.86,4700,Kharif
Bhalki,186,1358.07,27.6,Red Soil,69,41,55,76.64,4700,Kharif
Aurad,1404,1328.22,31.85,Red Soil,72,46,43,67.49,4700,Kharif
Humnabad,332,1297.51,31.78,Black Soil,77,44,35,87.07,4700,Kharif
Humnabad,441,903.77,21.97,Black Soil,67,23,48,71.21,4264,Rabi
Bhalki,219,985.29,25,Black Soil,70,23,50,66.13,4333,Kharif
Aurad,386,1033.98,20.56,Red Soil,53,28,58,82.11,4493,Kharif
Bhalki,613,1063.17,26.1,Black Soil,52,21,44,63.17,4325,Kharif
Bhalki,1291,987.86,29.79,Black Soil,77,29,57,94,4371,Kharif
Basavakalyan,340,1146.19,30.27,Laterite Soil,59,37,40,82.13,4488,Kharif
Humnabad,1079,945.11,26.49,Red Soil,52,44,47,94.51,4228,Kharif
Basavakalyan,550,1350.01,21.25,Black Soil,65,26,33,71.86,4700,Kharif
Basavakalyan,466,1372.63,24.96,Black Soil,47,40,57,93.99,4700,Kharif
Bhalki,867,1244.56,32.12,Red Soil,53,33,48,65.09,4515,Kharif
Aurad,371,953.82,22.98,Black Soil,58,40,32,61.42,4236,Kharif
Bhalki,807,1434.05,24.16,Red Soil,71,44,41,61.15,4700,Kharif
Aurad,1362,1479.38,29.71,Red Soil,64,48,33,76.27,4700,Rabi
Humnabad,441,1021.42,29.54,Red Soil,48,34,53,62.91,4139,Kharif
Bidar,1098,1322.78,31.86,Black Soil,68,29,41,77.93,4700,Kharif
Humnabad,372,1405.16,25.05,Black Soil,71,24,53,71.46,4700,Kharif
Bhalki,907,1223.91,26.69,Black Soil,56,44,30,71.75,4658,Rabi
Aurad,908,1093.99,26.08,Red Soil,72,27,57,82.25,4578,Kharif
Bidar,187,1187.14,32.06,Black Soil,79,41,45,65.71,4572,Kharif
Aurad,1380,1207.36,30,Laterite Soil,68,40,50,86.83,4678,Kharif
Aurad,1075,1140.38,30.81,Red Soil,75,48,59,80.37,4553,Kharif
Bidar,549,1457.91,21.73,Black Soil,47,24,31,92.02,4700,Kharif
Bidar,1360,1346.33,30.29,Red Soil,74,24,55,72.77,4700,Kharif
Humnabad,1179,1044.78,25.63,Black Soil,71,33,51,94.4,4543,Kharif
Basavakalyan,1306,1251.33,20.3,Red Soil,61,20,32,80.15,4700,Kharif
Bidar,1147,1313.21,20.78,Laterite Soil,50,46,57,94.07,4700,Kharif
Basavakalyan,662,984.09,28.81,Red Soil,62,24,45,60.95,4166,Rabi
Basavakalyan,931,1115.06,24.84,Red Soil,79,38,55,85.48,4700,Kharif
Basavakalyan,232,1443.33,31.29,Red Soil,71,41,39,88.58,4700,Kharif
Basavakalyan,484,1240.3,29.55,Black Soil,61,44,58,61.86,4607,Kharif
Bidar,808,1030.2,20.28,Red Soil,55,31,58,80.26,4498,Kharif
Aurad,251,973.67,28.93,Black Soil,78,34,38,88.07,4349,Kharif
Bidar,1461,1210.94,22.5,Red Soil,76,22,43,79.64,4700,Kharif
Bidar,974,1228.61,25.49,Black Soil,79,20,54,62.23,4700,Kharif
Bhalki,1204,1100.65,28.12,Black Soil,72,43,37,84.27,4547,Kharif
Bhalki,1487,1278.25,31.35,Black Soil,66,31,31,62.12,4661,Kharif
Humnabad,1146,941.21,25.93,Black Soil,60,32,40,88.61,4260,Kharif
Basavakalyan,303,987.08,30.51,Red Soil,56,49,31,61.51,4096,Kharif
Basavakalyan,709,1227.76,30.18,Red Soil,49,33,56,64.81,4508,Kharif
Bhalki,1326,937.09,25.39,Black Soil,70,44,44,69.63,4250,Kharif
Aurad,1092,1428.55,26.51,Black Soil,70,29,47,82.17,4700,Kharif
Humnabad,843,985.29,29.11,Black Soil,57,39,34,94.17,4264,Kharif
Aurad,381,1304.35,20.4,Laterite Soil,68,45,57,64.12,4700,Kharif
Bhalki,1294,1134.72,31.58,Laterite Soil,47,33,55,64.99,4294,Rabi
Aurad,1358,1139.87,30.01,Red Soil,76,33,54,72.91,4549,Kharif
Basavakalyan,537,1358.93,23.24,Laterite Soil,67,32,36,89.27,4700,Kharif
Bhalki,781,1199.68,32.76,Laterite Soil,57,40,52,76.35,4487,Kharif
Aurad,1013,1335.39,22.33,Black Soil,59,22,48,71.26,4700,Kharif
Humnabad,1399,1203.11,31.88,Black Soil,46,49,48,79.64,4463,Kharif
Humnabad,1368,1255.74,24.22,Laterite Soil,55,48,55,69.12,4700,Kharif
Bidar,958,1356.43,29.92,Laterite Soil,60,43,45,74.04,4700,Kharif
Bhalki,1199,1264.39,25.93,Laterite Soil,62,38,48,71.64,4700,Kharif
Bhalki,1367,1269.37,29.57,Black Soil,78,39,46,88.14,4700,Kharif
Bhalki,1192,1373.53,22.03,Red Soil,54,29,42,92.35,4700,Kharif
Basavakalyan,1004,1469.45,23.5,Laterite Soil,57,31,57,86.59,4700,Kharif
Basavakalyan,686,1126.03,21.3,Red Soil,76,42,37,75.37,4700,Kharif
Bhalki,708,1246.27,31.25,Red Soil,52,21,57,77.65,4584,Kharif
Aurad,860,951.76,23.85,Laterite Soil,51,20,40,64.38,4180,Kharif
Basavakalyan,1437,1115.28,29.03,Red Soil,61,23,47,86.14,4492,Kharif
Bhalki,388,1147.23,30.66,Black Soil,71,27,40,80.88,4548,Rabi
Basavakalyan,438,1401.14,31.72,Laterite Soil,52,36,52,91.59,4700,Kharif
Bidar,517,1208.04,21.38,Laterite Soil,73,45,38,67.02,4700,Kharif
Humnabad,561,1338.64,31.61,Laterite Soil,71,33,43,86.59,4700,Kharif
Bidar,1195,911.4,22.56,Laterite Soil,68,33,31,83.96,4320,Kharif
Bhalki,503,1178.7,29.58,Black Soil,60,38,58,69.3,4519,Kharif
Humnabad,569,1440.79,29.48,Black Soil,70,23,46,83.36,4700,Kharif
Aurad,1488,1034.59,20.11,Red Soil,75,39,50,92.35,4678,Kharif
Bhalki,931,918.91,22.87,Laterite Soil,71,35,45,92.15,4376,Kharif
Aurad,478,1160.05,26.39,Laterite Soil,70,38,55,85.19,4689,Rabi
Aurad,1022,1322.66,25.46,Red Soil,59,38,34,61.68,4700,Kharif
Basavakalyan,931,1172.68,31.94,Black Soil,59,32,30,90.53,4528,Kharif
Basavakalyan,887,1175.99,24.68,Laterite Soil,67,26,38,83.02,4700,Kharif
Humnabad,1421,1301.88,32.18,Red Soil,69,43,32,70.87,4700,Kharif
Humnabad,1344,1052.63,25.97,Black Soil,48,33,43,66.55,4299,Kharif
Basavakalyan,898,1351.13,32.54,Red Soil,60,48,47,64.07,4700,Kharif
Humnabad,897,991.87,29.59,Red Soil,65,29,41,61.76,4182,Kharif
Bidar,1452,1137.45,30.78,Black Soil,61,33,52,86.39,4489,Rabi
Bhalki,297,1293.6,21.36,Laterite Soil,47,39,43,68.25,4700,Kharif
Bidar,770,1397.02,27.62,Black Soil,51,30,57,60.85,4700,Kharif
Bhalki,292,1374.92,21.86,Laterite Soil,56,30,45,73.9,4700,Kharif
Basavakalyan,1125,1333.01,23.87,Black Soil,45,34,34,76.89,4700,Kharif
Bidar,220,1115.46,28.11,Laterite Soil,50,27,49,65.92,4368,Kharif
Aurad,460,973.38,29.44,Laterite Soil,67,43,49,61.54,4164,Kharif
Bidar,787,1030.1,20.51,Red Soil,69,41,44,66.62,4521,Kharif
Humnabad,616,1418.9,26.9,Red Soil,69,36,38,83.77,4700,Kharif
Bidar,743,1414.4,27.35,Laterite Soil,47,42,54,62.88,4700,Kharif
Basavakalyan,190,1470.94,21.02,Black Soil,48,42,46,79.43,4700,Kharif
Basavakalyan,1048,945.59,26.51,Laterite Soil,74,40,41,65.12,4243,Kharif
Humnabad,920,1222.09,29.28,Black Soil,77,25,42,66.85,4697,Kharif
Bhalki,505,1289.21,20.69,Laterite Soil,73,33,39,73.76,4700,Kharif
Humnabad,1317,1326.39,29.88,Black Soil,48,28,36,63.53,4682,Kharif
Bhalki,428,1286.32,27.49,Red Soil,58,22,56,66.06,4700,Kharif
Basavakalyan,804,1362.01,30.83,Black Soil,65,31,53,72.21,4700,Kharif
Basavakalyan,1118,1115.68,22.83,Red Soil,51,23,50,71.54,4529,Kharif
Bhalki,207,1007.66,30.83,Black Soil,65,44,36,86.22,4277,Kharif
Bidar,317,1022.75,21.23,Red Soil,51,34,37,62.62,4366,Kharif
Bidar,1339,907.19,25.25,Black Soil,45,32,53,90.12,4132,Kharif
Humnabad,522,1110.19,22.59,Laterite Soil,78,45,44,88.57,4700,Kharif
Basavakalyan,231,955.05,31.39,Black Soil,67,49,54,86.81,4183,Kharif
Bidar,283,1092.89,29.16,Red Soil,47,47,50,70.83,4303,Kharif
Basavakalyan,513,1276.93,20.33,Red Soil,62,37,47,88.8,4700,Kharif
Humnabad,1219,1436.69,20.12,Black Soil,56,33,51,66.4,4700,Kharif
Aurad,411,1403.76,23.79,Laterite Soil,58,32,30,64.35,4700,Kharif
Basavakalyan,618,1051.6,21.86,Black Soil,72,28,39,61.57,4524,Kharif
Aurad,1395,980.45,28.19,Black Soil,68,24,51,92.88,4339,Rabi
Basavakalyan,241,1015.84,28.63,Red Soil,68,38,48,70.78,4303,Kharif
Bhalki,168,1482.59,32.25,Laterite Soil,47,27,58,92.12,4700,Kharif
Aurad,419,1229.68,32.38,Laterite Soil,53,32,32,69.54,4500,Kharif
Bhalki,726,1009.5,28.57,Laterite Soil,68,28,36,91.76,4377,Kharif
Bhalki,1013,1404.45,20.07,Laterite Soil,46,36,33,91.64,4700,Kharif
Humnabad,818,1137.11,24.67,Black Soil,72,24,34,92.33,4700,Kharif
Humnabad,564,1439.53,26.67,Laterite Soil,51,49,35,77.37,4700,Kharif
Bidar,1420,1056.41,26.49,Laterite Soil,53,28,57,90.31,4418,Kharif
Aurad,1475,1135.93,27.84,Laterite Soil,77,30,39,93.28,4683,Kharif
Bidar,165,1202.97,32.49,Red Soil,78,21,41,71.36,4606,Kharif
Aurad,769,1435.57,31.51,Red Soil,65,32,43,74.66,4700,Kharif
Humnabad,652,1421.25,21.42,Red Soil,73,20,51,85.17,4700,Kharif
Humnabad,845,1244.61,23.46,Laterite Soil,71,27,31,70.51,4700,Rabi
Humnabad,1151,1033.07,30.83,Black Soil,61,34,32,86.38,4300,Kharif
Aurad,333,1142.01,30.72,Black Soil,67,41,30,62.59,4439,Kharif
Humnabad,590,1485.38,23.58,Red Soil,65,49,32,78.32,4700,Kharif
Bidar,730,1264.66,29.5,Red Soil,52,49,53,64.28,4608,Kharif
Bhalki,1423,1368.66,28.74,Laterite Soil,53,21,44,70.27,4700,Kharif
Aurad,525,1169.92,26.16,Red Soil,77,22,45,69.05,4690,Kharif
Bhalki,1261,1219.2,22.62,Red Soil,48,40,49,89.36,4700,Kharif
Bidar,495,1157.37,31.55,Red Soil,62,36,31,66.77,4433,Kharif
Basavakalyan,878,1321.75,28.81,Red Soil,76,37,49,88.3,4700,Kharif
Humnabad,539,1410.88,22.2,Black Soil,74,46,45,87.79,4700,Kharif
Bidar,329,1204.42,29.16,Laterite Soil,69,47,59,77.46,4662,Kharif
Basavakalyan,786,1188.52,29.64,Black Soil,77,36,44,68.18,4633,Kharif
Aurad,525,1104.17,31.53,Red Soil,79,49,36,67.94,4445,Kharif
Bidar,332,1006.26,22.9,Laterite Soil,78,33,54,76.27,4511,Kharif
Aurad,993,1463.55,32.85,Laterite Soil,46,30,34,60.31,4700,Rabi
Bhalki,478,1089.65,21.99,Black Soil,57,42,58,78.6,4568,Kharif
Bhalki,639,1380.41,27.81,Black Soil,67,42,34,93.35,4700,Kharif
Aurad,349,1329.21,28.54,Red Soil,67,45,57,65.41,4700,Kharif
Bhalki,845,1374.55,25.45,Black Soil,75,33,50,80.07,4700,Kharif
Bhalki,628,1462.06,26.18,Red Soil,46,24,55,93.66,4700,Kharif
Humnabad,958,1274.02,31.58,Red Soil,46,45,38,90.12,4640,Kharif
Aurad,1141,1438.77,28.39,Red Soil,49,25,52,89.76,4700,Kharif
Aurad,1166,1000.62,26.46,Laterite Soil,58,48,43,88.76,4342,Kharif
Basavakalyan,648,1276.03,21.67,Laterite Soil,67,38,48,70.82,4700,Kharif
Humnabad,779,1363.37,20.1,Black Soil,79,30,59,91.17,4700,Kharif
Bidar,1329,1062.98,21.62,Black Soil,45,21,47,92.95,4514,Kharif
Humnabad,332,1344.45,32.43,Laterite Soil,59,29,38,77.35,4700,Kharif
Bidar,585,1367.09,29.93,Black Soil,74,32,32,72.41,4700,Kharif
Aurad,195,1398.71,32.57,Red Soil,65,44,58,74.5,4700,Kharif
Humnabad,1025,1087.73,20.46,Red Soil,52,21,40,71.7,4545,Kharif
Basavakalyan,393,1308.96,28.84,Laterite Soil,51,33,53,67.43,4700,Kharif
Bhalki,305,1082.55,20.58,Black Soil,78,36,44,81.65,4700,Kharif
Bidar,1111,1343.42,30.17,Black Soil,76,28,57,79.69,4700,Kharif
Bhalki,398,1177.78,24.95,Laterite Soil,77,27,33,76.19,4700,Rabi
Aurad,1094,1258.53,21.24,Red Soil,50,27,50,63.35,4700,Kharif
Aurad,1428,1149.5,27.38,Red Soil,54,26,53,87.89,4560,Kharif
Aurad,968,997.19,23.64,Black Soil,70,44,34,66.12,4388,Kharif
Bhalki,795,1006.82,28.57,Laterite Soil,70,46,55,64.01,4274,Rabi
Aurad,526,946.54,28.56,Laterite Soil,63,35,47,81.81,4195,Kharif
Aurad,302,1270.84,29.17,Red Soil,79,38,51,73.95,4700,Kharif
Bhalki,921,1409.18,32.9,Red Soil,48,43,52,62.09,4700,Kharif
Aurad,389,912.5,25.03,Black Soil,69,36,41,72.44,4220,Kharif
Bidar,1325,939.74,26.05,Laterite Soil,52,20,30,87.01,4200,Kharif
Humnabad,752,1174.48,30.46,Black Soil,56,46,55,81.53,4514,Kharif
Bidar,389,1342.63,27.52,Black Soil,68,32,54,72.7,4700,Kharif
Aurad,1356,994.62,20.48,Laterite Soil,68,35,51,66.71,4453,Kharif
Aurad,459,1062.99,30.96,Laterite Soil,61,25,49,82.11,4333,Kharif
Aurad,408,1039.2,20.67,Red Soil,69,34,31,91.06,4632,Kharif
Aurad,580,1139.43,22.22,Laterite Soil,77,31,38,82.62,4700,Kharif
Bhalki,649,1035,21.33,Black Soil,71,43,51,88.45,4609,Kharif
Humnabad,225,1111.56,21.01,Black Soil,46,27,54,78.25,4564,Kharif
Bhalki,446,1337.13,20.33,Laterite Soil,53,45,47,85.13,4700,Kharif
Bhalki,332,1266.61,20.72,Black Soil,77,20,34,91.37,4700,Kharif
Aurad,1232,948.71,25.75,Laterite Soil,63,30,51,87.06,4290,Kharif
Bidar,676,1282.65,23.29,Red Soil,49,34,43,91.84,4700,Kharif
Bidar,1360,1186.25,21.64,Red Soil,64,20,40,75.09,4700,Kharif
Basavakalyan,1198,1460.74,28.56,Laterite Soil,68,44,50,91.65,4700,Kharif
Humnabad,448,1073.58,22.94,Black Soil,75,35,51,81.75,4635,Kharif
Basavakalyan,1365,1335.7,20.25,Laterite Soil,48,44,32,90.45,4700,Rabi
Bhalki,840,1338.52,25.44,Laterite Soil,76,26,38,61.38,4700,Kharif
Basavakalyan,722,1032.9,24.04,Red Soil,79,20,31,83.02,4564,Kharif
Basavakalyan,1304,1441.93,24.14,Laterite Soil,58,48,43,89.68,4700,Kharif
Basavakalyan,825,1194.71,25.79,Red Soil,50,45,57,66.1,4570,Kharif
Humnabad,1140,1307.33,28.7,Red Soil,61,21,31,83.16,4700,Kharif
Bidar,653,987.51,28.01,Laterite Soil,62,27,50,88.87,4304,Kharif
Bidar,1380,1054.68,32.18,Laterite Soil,52,43,56,70.08,4186,Kharif
Basavakalyan,387,1251.66,26.73,Laterite Soil,56,30,39,74.18,4700,Kharif
Humnabad,341,1091.42,26.14,Laterite Soil,61,32,48,79.93,4496,Kharif
Bidar,1201,1199.82,22.77,Red Soil,75,24,58,78.17,4700,Kharif
Aurad,1280,1124.4,29.82,Laterite Soil,45,37,58,61.37,4293,Kharif
Bidar,1396,1284.33,21.83,Red Soil,55,38,31,63.45,4700,Kharif
Bidar,578,1192.29,26.38,Red Soil,60,40,45,63.52,4600,Kharif
Humnabad,233,902.77,25.48,Black Soil,72,22,35,69.18,4196,Rabi
Humnabad,647,1289.81,28.56,Red Soil,53,45,41,68.61,4700,Kharif
Bidar,386,1153.27,31.93,Black Soil,52,20,51,85.98,4433,Kharif
Aurad,298,1105.02,32.31,Laterite Soil,69,49,36,80.05,4415,Kharif
Aurad,1000,956.49,22.18,Black Soil,54,41,33,86.74,4338,Kharif
Basavakalyan,761,1032.22,23.4,Laterite Soil,47,49,37,62.45,4304,Kharif
Basavakalyan,993,1034.26,30.55,Red Soil,67,24,48,76.98,4307,Kharif
Bidar,1208,1461.22,26.74,Black Soil,67,38,39,71.33,4700,Kharif
Bidar,1093,1159.51,25.89,Laterite Soil,48,28,30,89.75,4586,Kharif
Bidar,246,925.24,29.24,Laterite Soil,67,45,34,84.77,4175,Kharif
Aurad,1406,983.29,27.83,Black Soil,53,43,35,90.42,4253,Kharif
Bhalki,556,947.42,32.62,Black Soil,48,26,56,61.62,3924,Kharif
Basavakalyan,1109,1253.32,27.59,Laterite Soil,78,31,58,85.23,4700,Kharif
Basavakalyan,674,1011.97,26.06,Laterite Soil,62,33,48,78.9,4357,Kharif
Bhalki,1075,1199.13,27.06,Red Soil,78,48,47,88.88,4700,Kharif
Bidar,638,1122.04,30.51,Laterite Soil,78,35,48,77.75,4535,Kharif
Basavakalyan,553,1382.33,27.96,Black Soil,47,32,48,78.91,4700,Kharif
Aurad,923,1092.29,28.41,Laterite Soil,63,46,52,61.81,4381,Kharif
Bhalki,1396,1174.96,32.63,Laterite Soil,78,37,30,83.4,4600,Kharif
Aurad,552,1332.77,28.04,Black Soil,70,49,56,69.56,4700,Kharif
Bidar,600,1160.01,24.94,Red Soil,79,29,49,60.69,4681,Kharif
Basavakalyan,333,1375.93,28.99,Laterite Soil,75,40,40,62.33,4700,Kharif
Aurad,426,1297.01,28.57,Black Soil,71,40,32,93.5,4700,Kharif
Bhalki,1044,1146.32,20.18,Black Soil,47,25,39,72.11,4629,Kharif
Bidar,1468,1202.39,26.08,Black Soil,56,41,56,90.38,4700,Kharif
Basavakalyan,210,1480.32,29.66,Black Soil,67,22,36,93.59,4700,Kharif
Basavakalyan,1139,1296.97,26.49,Red Soil,61,46,46,93.01,4700,Kharif
Bidar,295,1443,30.14,Black Soil,60,23,53,90.86,4700,Kharif
Bidar,332,1007.26,25.86,Laterite Soil,61,20,55,91.32,4397,Kharif
Bidar,464,1189.94,32.78,Red Soil,59,30,45,70.12,4456,Kharif
Aurad,808,1445.2,23.81,Black Soil,70,36,36,65.3,4700,Rabi
Humnabad,893,1093.57,21.2,Laterite Soil,46,24,42,82.37,4543,Kharif
Basavakalyan,1145,1480.6,25.59,Red Soil,61,31,41,77.08,4700,Rabi
Aurad,958,958.25,27.04,Laterite Soil,45,39,41,63.46,4072,Kharif
Bhalki,801,1441.6,24.54,Red Soil,74,42,37,83.71,4700,Kharif
Basavakalyan,1079,1167.13,23.15,Black Soil,76,26,37,79.7,4700,Kharif
Humnabad,1042,944.25,28.74,Laterite Soil,74,23,42,90.21,4285,Rabi
Bhalki,185,1427.71,24.9,Black Soil,48,45,40,81.32,4700,Kharif
Basavakalyan,938,1051.16,28.21,Red Soil,76,49,54,80.09,4463,Kharif
Humnabad,1229,913.35,30.13,Black Soil,79,35,30,75.43,4166,Kharif
Bidar,1214,981.48,29.89,Black Soil,45,34,54,76.2,4094,Kharif
Humnabad,532,1295.47,24.88,Laterite Soil,63,33,46,93.4,4700,Kharif
Basavakalyan,318,1486.69,27.38,Black Soil,77,48,48,64.85,4700,Kharif
Humnabad,320,966.88,25.85,Black Soil,63,21,42,75.62,4274,Rabi
Basavakalyan,888,1177.17,31.32,Black Soil,71,29,52,82.95,4593,Kharif
Basavakalyan,747,1008.38,31.42,Red Soil,57,39,44,75.16,4172,Kharif
Humnabad,1467,1347.02,24.47,Laterite Soil,71,43,58,69.91,4700,Kharif
Humnabad,1437,970.84,21.19,Laterite Soil,58,21,53,70.06,4346,Kharif
Bhalki,396,1043.91,22.18,Black Soil,68,24,41,68.18,4505,Kharif
Bhalki,297,1017.84,24.77,Laterite Soil,79,32,50,72.04,4475,Kharif
Aurad,590,1231.51,27.34,Red Soil,63,42,46,90.51,4700,Kharif
Basavakalyan,511,1423.91,28.54,Red Soil,69,29,32,77.68,4700,Kharif
Bhalki,371,1206.65,24.31,Black Soil,55,41,36,68.41,4667,Kharif
Aurad,807,934.95,28.68,Black Soil,53,32,31,73.46,4077,Rabi
Basavakalyan,257,1238.03,32.19,Red Soil,50,33,31,63.7,4478,Kharif
Aurad,1388,1378.51,28.48,Red Soil,73,44,54,91.64,4700,Rabi
Bhalki,1303,979.29,22.06,Red Soil,53,37,35,74.29,4326,Kharif
Aurad,725,943.63,27.54,Black Soil,77,39,33,94.31,4349,Kharif
Humnabad,449,1012.68,27.04,Red Soil,67,42,45,72.16,4337,Kharif
Aurad,373,1347.65,31.32,Black Soil,59,47,44,89.27,4700,Kharif
